,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10
235,487,32,2,2,2,1,1,4,0,0
236,486,33,2,2,1,1,1,0,0,0
237,486,31,2,2,2,1,1,4,0,0
238,485,33,2,2,1,1,1,2,0,0
239,485,32,2,2,2,1,1,2,0,0
240,485,32,2,2,1,1,1,4,0,0
241,487,33,2,2,2,1,1,4,0,0
242,486,33,2,2,1,1,1,2,0,0
243,487,33,2,2,1,1,1,2,0,0
244,486,34,2,2,1,1,1,5,0,0
245,487,33,2,2,2,1,1,0,0,0
246,486,32,2,2,1,1,1,4,0,0
247,487,33,2,2,1,1,1,2,0,0
248,486,31,2,2,1,1,1,2,0,0
249,486,33,2,2,1,1,1,5,0,0
250,487,32,2,2,1,1,1,0,0,0
251,486,32,2,2,2,1,1,2,0,0
252,484,30,2,2,1,1,1,2,0,0
253,487,32,2,2,1,1,1,4,0,0
254,484,32,2,2,1,1,1,0,0,0
255,487,33,2,2,1,1,1,4,0,0
256,486,33,2,2,1,1,1,2,0,0
257,484,32,2,2,1,1,1,2,0,0
258,487,33,2,2,1,1,1,5,0,0
259,487,34,2,2,1,1,1,0,0,0
260,486,31,2,2,1,1,1,4,0,0
261,486,32,2,2,1,1,1,2,0,0
262,485,33,2,2,1,1,1,4,0,0
263,485,32,2,2,1,1,1,0,0,0
264,486,32,2,2,1,1,1,4,0,0
265,484,32,2,2,1,1,1,2,0,0
266,486,32,2,2,1,1,1,2,0,0
267,485,33,2,2,1,1,1,5,0,0
268,487,32,2,2,1,1,1,0,0,0
269,487,32,2,2,2,1,1,4,0,0
270,486,33,2,2,2,1,1,2,0,0
271,486,33,2,2,1,1,1,4,0,0
272,487,32,2,2,2,1,1,0,0,0
273,487,33,2,2,2,1,1,4,0,0
274,485,32,2,2,1,1,1,2,0,0
275,486,32,2,2,1,1,1,2,0,0
276,485,33,2,2,2,1,1,5,0,0
277,485,32,2,2,1,1,1,0,0,0
278,485,33,2,2,2,1,1,4,0,0
279,486,32,2,2,2,1,1,2,0,0
280,487,33,2,2,2,1,1,2,0,0
281,486,33,2,2,1,1,1,0,0,0
282,484,32,2,2,1,1,1,4,0,0
283,486,33,2,2,1,1,1,2,0,0
284,486,32,2,2,1,1,1,2,0,0
285,487,33,2,2,1,1,1,5,0,0
286,486,33,2,2,1,1,1,0,0,0
287,485,32,2,2,1,1,1,4,0,0
288,486,34,2,2,1,1,1,2,0,0
289,486,32,2,2,2,1,1,2,0,0
290,484,32,2,2,1,1,1,5,0,0
291,486,32,2,2,2,1,1,4,0,0
292,487,33,2,2,1,1,1,2,0,0
293,486,32,2,2,2,1,1,2,0,0
294,484,32,2,2,1,1,1,5,0,0
295,485,32,2,2,2,1,1,0,0,0
296,487,33,2,2,2,1,1,4,0,0
297,485,32,2,2,2,1,1,2,0,0
298,486,33,2,2,1,1,1,2,0,0
299,487,35,2,2,2,1,1,5,0,0
300,487,31,2,2,1,1,1,0,0,0
301,485,32,2,2,2,1,1,2,0,0
302,486,32,2,2,1,1,1,2,0,0
303,484,32,2,2,1,1,1,4,0,0
304,486,31,2,2,2,1,1,0,0,0
305,485,33,2,2,2,1,1,4,0,0
306,484,32,2,2,1,1,1,2,0,0
307,484,31,2,2,2,1,1,2,0,0
308,484,32,2,2,1,1,1,4,0,0
309,485,32,2,2,1,1,1,0,0,0
310,485,32,2,2,2,1,1,4,0,0
311,486,33,2,2,2,1,1,2,0,0
312,484,32,2,2,1,1,1,5,0,0
313,485,32,2,2,2,1,1,0,0,0
314,484,33,2,2,1,1,1,4,0,0
315,487,33,2,2,1,1,1,2,0,0
316,486,32,2,2,2,1,1,1,0,0
317,487,33,2,2,2,1,1,4,0,0
318,486,31,2,2,2,1,1,0,0,0
319,484,31,2,2,1,1,1,4,0,0
320,484,32,2,2,1,1,1,2,0,0
321,487,32,2,2,1,1,1,4,0,0
322,486,32,2,2,2,1,1,0,0,0
323,485,33,2,2,2,1,1,4,0,0
324,487,33,2,2,1,1,1,2,0,0
325,485,32,2,2,1,1,1,2,0,0
326,486,33,2,2,2,1,1,4,0,0
327,486,32,2,2,2,1,1,0,0,0
328,486,31,2,2,1,1,1,4,0,0
329,485,32,2,2,1,1,1,2,0,0
330,485,32,2,2,1,1,1,1,0,0
331,486,33,2,2,1,1,1,4,0,0
332,484,33,2,2,1,1,1,4,0,0
333,486,32,2,2,1,1,1,2,0,0
334,486,31,2,2,2,1,1,2,0,0
335,485,32,2,2,1,1,1,5,0,0
336,486,33,2,2,1,1,1,0,0,0
337,487,34,2,2,2,1,1,4,0,0
338,487,33,2,2,1,1,1,2,0,0
339,487,32,2,2,1,1,1,1,0,0
340,485,33,2,2,1,1,1,4,0,0
341,486,33,2,2,1,1,1,0,0,0
342,486,32,2,2,1,1,1,2,0,0
343,486,32,2,2,2,1,1,1,0,0
344,484,32,2,2,1,1,1,4,0,0
345,485,32,2,2,1,1,1,0,0,0
346,486,32,2,2,2,1,1,4,0,0
347,484,32,2,2,2,1,1,2,0,0
348,486,32,2,2,1,1,1,2,0,0
349,486,32,2,2,1,1,1,4,0,0
350,486,32,2,2,1,1,1,0,0,0
351,485,32,2,2,1,1,1,2,0,0
352,485,32,2,2,1,1,1,2,0,0
353,485,32,2,2,2,1,1,5,0,0
354,485,32,2,2,1,1,1,0,0,0
355,486,33,2,2,1,1,1,4,0,0
356,487,33,2,2,1,1,1,2,0,0
357,486,32,2,2,2,1,1,2,0,0
358,487,33,2,2,2,1,1,5,0,0
359,484,31,2,2,1,1,1,0,0,0
360,487,32,2,2,1,1,1,4,0,0
361,486,33,2,2,1,1,1,2,0,0
362,486,33,2,2,1,1,1,4,0,0
363,484,32,2,2,1,1,1,0,0,0
364,485,32,2,2,1,1,1,4,0,0
365,486,33,2,2,1,1,1,2,0,0
366,486,32,1,2,1,1,1,1,0,0
367,487,34,2,2,2,1,1,5,0,0
368,487,33,2,2,2,1,1,0,0,0
369,485,32,2,2,2,1,1,4,0,0
370,486,33,2,2,1,1,1,2,0,0
371,484,32,2,2,1,1,1,5,0,0
372,486,34,2,2,1,1,1,0,0,0
373,484,33,2,2,1,1,1,4,0,0
374,487,33,2,2,1,1,1,2,0,0
375,486,33,2,2,1,1,1,1,0,0
376,486,33,2,2,1,1,1,4,0,0
377,485,33,2,2,1,1,1,0,0,0
378,487,33,2,2,2,1,1,4,0,0
379,487,33,2,2,2,1,1,2,0,0
380,486,31,2,2,2,1,1,1,0,0
381,487,34,2,2,1,1,1,5,0,0
382,486,33,2,2,1,1,1,4,0,0
383,484,32,2,2,1,1,1,2,0,0
384,487,32,2,2,2,1,1,1,0,0
385,487,34,2,2,1,1,1,5,0,0
386,484,32,2,2,1,1,1,0,0,0
387,487,32,2,2,1,1,1,4,0,0
388,485,32,2,2,1,1,1,2,0,0
389,486,33,2,2,1,1,1,2,0,0
390,487,32,2,2,1,1,1,5,0,0
391,487,33,2,2,1,1,1,4,0,0
392,486,33,2,2,2,1,1,2,0,0
393,486,32,2,2,1,1,1,2,0,0
394,486,31,2,2,2,1,1,5,0,0
395,487,33,2,2,1,1,1,0,0,0
396,487,33,2,2,2,1,1,4,0,0
397,487,33,2,2,1,1,1,2,0,0
398,487,33,2,2,1,1,1,2,0,0
399,485,32,2,2,1,1,1,5,0,0
400,485,33,2,2,1,1,1,0,0,0
401,486,33,2,2,1,1,1,2,0,0
402,487,33,2,2,1,1,1,1,0,0
403,485,33,2,2,1,1,1,5,0,0
404,485,33,2,2,1,1,1,0,0,0
405,484,33,2,2,1,1,1,4,0,0
406,485,32,2,2,2,1,1,2,0,0
407,484,32,2,2,1,1,1,1,0,0
408,484,33,2,2,1,1,1,5,0,0
409,486,33,2,2,1,1,1,0,0,0
410,485,32,2,2,1,1,1,4,0,0
411,487,33,2,2,1,1,1,1,0,0
412,487,32,2,2,1,1,1,4,0,0
413,484,32,2,2,2,1,1,0,0,0
414,484,33,2,2,1,1,1,4,0,0
415,486,32,2,2,2,1,1,2,0,0
416,487,32,2,2,2,1,1,1,0,0
417,484,32,2,2,1,1,1,5,0,0
418,485,31,2,2,2,1,1,0,0,0
419,484,31,2,2,2,1,1,4,0,0
420,487,33,2,2,1,1,1,2,0,0
421,484,32,2,2,1,1,1,4,0,0
422,485,32,2,2,1,1,1,0,0,0
423,485,32,2,2,1,1,1,4,0,0
424,485,31,2,2,1,1,1,2,0,0
425,487,31,2,2,1,1,1,1,0,0
426,484,32,2,2,1,1,1,5,0,0
427,486,33,2,2,1,1,1,0,0,0
428,485,33,2,2,1,1,1,4,0,0
429,486,34,2,2,1,1,1,2,0,0
430,484,33,2,2,1,1,1,1,0,0
431,484,32,2,2,1,1,1,0,0,0
432,487,30,2,2,1,1,1,4,0,0
433,485,31,2,2,1,1,1,2,0,0
434,486,31,2,2,1,1,1,1,0,0
435,487,32,2,2,1,1,1,5,0,0
436,487,32,2,2,2,1,1,0,0,0
437,485,32,2,2,1,1,1,4,0,0
438,487,33,2,2,1,1,1,2,0,0
439,486,32,2,2,2,1,1,2,0,0
440,487,33,2,2,1,1,1,0,0,0
441,485,33,2,2,1,1,1,4,0,0
442,486,31,2,2,1,1,1,3,0,0
443,486,32,2,2,1,1,1,1,0,0
444,487,33,2,2,1,1,1,5,0,0
445,487,32,2,2,2,1,1,0,0,0
446,485,33,2,2,1,1,1,4,0,0
447,487,33,2,2,1,1,1,2,0,0
448,486,32,2,2,1,1,1,1,0,0
449,485,33,2,2,1,1,1,5,0,0
450,487,32,2,2,1,1,1,0,0,0
451,484,32,2,2,1,1,1,2,0,0
452,484,32,2,2,1,1,1,1,0,0
453,484,32,2,2,1,1,1,4,0,0
454,487,33,2,2,2,1,1,0,0,0
455,486,32,2,2,1,1,1,4,0,0
456,486,33,2,2,1,1,1,3,0,0
457,485,32,2,2,1,1,1,1,0,0
458,487,33,2,2,1,1,1,5,0,0
459,486,34,2,2,1,1,1,0,0,0
460,487,33,2,2,2,1,1,4,0,0
461,486,33,2,2,2,1,1,1,0,0
462,487,34,2,2,1,1,1,5,0,0
463,486,34,2,2,1,1,1,0,0,0
464,487,34,2,2,1,1,1,4,0,0
465,487,34,2,2,1,1,1,2,0,0
466,487,34,2,2,2,1,1,1,0,0
467,484,33,2,2,1,1,1,4,0,0
468,484,33,2,2,2,1,1,0,0,0
469,487,32,2,2,2,1,1,4,0,0
470,486,31,2,2,1,1,1,1,0,0
471,485,33,2,2,1,1,1,5,0,0
472,487,32,2,2,2,1,2,1,0,0
473,484,33,2,2,1,1,1,4,0,0
474,484,32,2,2,1,1,1,3,0,0
475,487,33,2,2,1,1,1,1,0,0
476,486,32,2,2,2,1,1,5,0,0
477,486,32,2,2,1,1,1,0,0,0
478,486,31,2,2,1,1,1,4,0,0
479,487,32,2,2,1,1,1,1,0,0
480,486,33,2,2,2,1,1,5,0,0
481,486,31,2,2,2,1,1,0,0,0
482,487,33,2,2,2,1,1,4,0,0
483,485,32,2,2,2,1,1,2,0,0
484,487,32,2,2,1,1,1,1,0,0
485,485,32,2,2,1,1,1,5,0,0
486,484,32,2,2,2,1,1,0,0,0
487,487,33,2,2,2,1,1,4,0,0
488,487,32,2,2,1,1,2,3,0,0
489,484,33,2,2,1,1,1,1,0,0
490,485,32,2,2,1,1,1,0,0,0
491,485,33,2,2,1,1,1,4,0,0
492,487,33,2,2,1,1,1,2,0,0
493,486,32,2,2,1,1,1,1,0,0
494,487,33,2,2,2,1,1,5,0,0
495,487,33,2,2,2,1,1,1,0,0
496,487,32,2,2,2,1,1,4,0,0
497,487,34,2,2,1,1,1,3,0,0
498,486,32,2,2,2,1,1,1,0,0
499,485,32,2,2,1,1,1,5,0,0
500,485,32,2,2,1,1,1,4,0,0
501,487,33,2,2,1,1,1,2,0,0
502,487,32,2,2,1,1,1,1,0,0
503,486,31,2,2,1,1,1,4,0,0
504,487,31,2,2,1,1,1,0,0,0
505,486,32,2,2,2,1,1,4,0,0
506,487,30,2,2,2,1,1,3,0,0
507,487,31,2,2,1,1,1,1,0,0
508,485,31,2,2,2,1,1,5,0,0
509,486,32,2,2,1,1,1,0,0,0
510,484,31,2,2,2,1,1,3,0,0
511,485,31,2,2,2,1,1,1,0,0
512,485,33,2,2,1,1,1,5,0,0
513,487,32,2,2,2,1,1,0,0,0
514,486,31,2,2,1,1,1,4,0,0
515,486,32,2,2,1,1,1,3,0,0
516,485,31,2,2,1,1,1,1,0,0
517,486,32,2,2,2,1,1,5,0,0
518,484,32,2,2,1,1,1,0,0,0
519,484,30,2,2,1,1,1,4,0,0
520,487,29,2,2,1,1,1,1,0,0
521,485,30,2,2,2,1,1,5,0,0
522,484,30,2,2,1,1,1,0,0,0
523,487,30,2,2,1,1,1,4,0,0
524,486,30,2,2,1,1,1,3,0,0
525,487,30,2,2,1,1,1,1,0,0
526,487,30,2,2,2,1,1,5,0,0
527,485,28,2,2,1,1,1,0,0,0
528,486,30,2,2,1,1,1,4,0,0
529,486,30,2,2,1,1,1,3,0,0
530,486,30,2,2,1,1,1,5,0,0
531,484,29,2,2,1,1,1,0,0,0
532,486,30,2,2,1,1,1,4,0,0
533,486,30,2,2,2,1,1,2,0,0
534,484,28,2,2,1,1,1,1,0,0
535,485,31,2,2,1,1,1,5,0,0
